date,City,State,Year,month1,Month,Year-Month,Num_reviews
2020-03-05,New York,New York,2020,3,03,2020-03,374
2020-03-06,Chicago,Illinois,2020,3,03,2020-03,110
2020-03-06,Hawaii,Hawaii,2020,3,03,2020-03,540
2020-03-06,Las Vegas,Nevada,2020,3,03,2020-03,148
2020-03-06,Los Angeles,California,2020,3,03,2020-03,774
2020-03-06,New York,New York,2020,3,03,2020-03,383
2020-03-07,Chicago,Illinois,2020,3,03,2020-03,141
2020-03-07,Hawaii,Hawaii,2020,3,03,2020-03,594
2020-03-07,Las Vegas,Nevada,2020,3,03,2020-03,202
2020-03-07,Los Angeles,California,2020,3,03,2020-03,767
2020-03-07,New York,New York,2020,3,03,2020-03,480
2020-03-08,Chicago,Illinois,2020,3,03,2020-03,494
2020-03-08,Hawaii,Hawaii,2020,3,03,2020-03,638
2020-03-08,Las Vegas,Nevada,2020,3,03,2020-03,474
2020-03-08,Los Angeles,California,2020,3,03,2020-03,1203
2020-03-08,New York,New York,2020,3,03,2020-03,905
2020-03-09,Chicago,Illinois,2020,3,03,2020-03,192
2020-03-09,Hawaii,Hawaii,2020,3,03,2020-03,636
2020-03-09,Las Vegas,Nevada,2020,3,03,2020-03,358
2020-03-09,Los Angeles,California,2020,3,03,2020-03,956
2020-03-09,New York,New York,2020,3,03,2020-03,627
2020-03-10,Chicago,Illinois,2020,3,03,2020-03,103
2020-03-10,Hawaii,Hawaii,2020,3,03,2020-03,540
2020-03-10,Las Vegas,Nevada,2020,3,03,2020-03,196
2020-03-10,Los Angeles,California,2020,3,03,2020-03,637
2020-03-10,New York,New York,2020,3,03,2020-03,409
2020-03-11,Chicago,Illinois,2020,3,03,2020-03,115
2020-03-11,Hawaii,Hawaii,2020,3,03,2020-03,557
2020-03-11,Las Vegas,Nevada,2020,3,03,2020-03,271
2020-03-11,Los Angeles,California,2020,3,03,2020-03,681
2020-03-11,New York,New York,2020,3,03,2020-03,403
2020-03-12,Chicago,Illinois,2020,3,03,2020-03,136
2020-03-12,Hawaii,Hawaii,2020,3,03,2020-03,533
2020-03-12,Las Vegas,Nevada,2020,3,03,2020-03,277
2020-03-12,Los Angeles,California,2020,3,03,2020-03,696
2020-03-12,New York,New York,2020,3,03,2020-03,396
2020-03-13,Chicago,Illinois,2020,3,03,2020-03,137
2020-03-13,Hawaii,Hawaii,2020,3,03,2020-03,484
2020-03-13,Las Vegas,Nevada,2020,3,03,2020-03,326
2020-03-13,Los Angeles,California,2020,3,03,2020-03,734
2020-03-13,New York,New York,2020,3,03,2020-03,381
2020-03-14,Chicago,Illinois,2020,3,03,2020-03,152
2020-03-14,Hawaii,Hawaii,2020,3,03,2020-03,572
2020-03-14,Las Vegas,Nevada,2020,3,03,2020-03,382
2020-03-14,Los Angeles,California,2020,3,03,2020-03,704
2020-03-14,New York,New York,2020,3,03,2020-03,503
2020-03-15,Chicago,Illinois,2020,3,03,2020-03,512
2020-03-15,Hawaii,Hawaii,2020,3,03,2020-03,617
2020-03-15,Las Vegas,Nevada,2020,3,03,2020-03,536
2020-03-15,Los Angeles,California,2020,3,03,2020-03,1032
2020-03-15,New York,New York,2020,3,03,2020-03,657
2020-03-16,Chicago,Illinois,2020,3,03,2020-03,187
2020-03-16,Hawaii,Hawaii,2020,3,03,2020-03,633
2020-03-16,Las Vegas,Nevada,2020,3,03,2020-03,277
2020-03-16,Los Angeles,California,2020,3,03,2020-03,681
2020-03-16,New York,New York,2020,3,03,2020-03,410
2020-03-17,Chicago,Illinois,2020,3,03,2020-03,96
2020-03-17,Hawaii,Hawaii,2020,3,03,2020-03,533
2020-03-17,Las Vegas,Nevada,2020,3,03,2020-03,154
2020-03-17,Los Angeles,California,2020,3,03,2020-03,425
2020-03-17,New York,New York,2020,3,03,2020-03,293
2020-03-18,Chicago,Illinois,2020,3,03,2020-03,89
2020-03-18,Hawaii,Hawaii,2020,3,03,2020-03,558
2020-03-18,Las Vegas,Nevada,2020,3,03,2020-03,153
2020-03-18,Los Angeles,California,2020,3,03,2020-03,374
2020-03-18,New York,New York,2020,3,03,2020-03,249
2020-03-19,Chicago,Illinois,2020,3,03,2020-03,34
2020-03-19,Hawaii,Hawaii,2020,3,03,2020-03,518
2020-03-19,Las Vegas,Nevada,2020,3,03,2020-03,123
2020-03-19,Los Angeles,California,2020,3,03,2020-03,288
2020-03-19,New York,New York,2020,3,03,2020-03,197
2020-03-20,Chicago,Illinois,2020,3,03,2020-03,58
2020-03-20,Hawaii,Hawaii,2020,3,03,2020-03,440
2020-03-20,Las Vegas,Nevada,2020,3,03,2020-03,113
2020-03-20,Los Angeles,California,2020,3,03,2020-03,312
2020-03-20,New York,New York,2020,3,03,2020-03,189
2020-03-21,Chicago,Illinois,2020,3,03,2020-03,49
2020-03-21,Hawaii,Hawaii,2020,3,03,2020-03,402
2020-03-21,Las Vegas,Nevada,2020,3,03,2020-03,65
2020-03-21,Los Angeles,California,2020,3,03,2020-03,255
2020-03-21,New York,New York,2020,3,03,2020-03,164
2020-03-22,Chicago,Illinois,2020,3,03,2020-03,60
2020-03-22,Hawaii,Hawaii,2020,3,03,2020-03,385
2020-03-22,Las Vegas,Nevada,2020,3,03,2020-03,91
2020-03-22,Los Angeles,California,2020,3,03,2020-03,313
2020-03-22,New York,New York,2020,3,03,2020-03,178
2020-03-23,Chicago,Illinois,2020,3,03,2020-03,49
2020-03-23,Hawaii,Hawaii,2020,3,03,2020-03,330
2020-03-23,Las Vegas,Nevada,2020,3,03,2020-03,66
2020-03-23,Los Angeles,California,2020,3,03,2020-03,201
2020-03-23,New York,New York,2020,3,03,2020-03,143
2020-03-24,Chicago,Illinois,2020,3,03,2020-03,27
2020-03-24,Hawaii,Hawaii,2020,3,03,2020-03,245
2020-03-24,Las Vegas,Nevada,2020,3,03,2020-03,41
2020-03-24,Los Angeles,California,2020,3,03,2020-03,157
2020-03-24,New York,New York,2020,3,03,2020-03,75
2020-03-25,Chicago,Illinois,2020,3,03,2020-03,19
2020-03-25,Hawaii,Hawaii,2020,3,03,2020-03,188
2020-03-25,Las Vegas,Nevada,2020,3,03,2020-03,44
2020-03-25,Los Angeles,California,2020,3,03,2020-03,145
2020-03-25,New York,New York,2020,3,03,2020-03,71
2020-03-26,Chicago,Illinois,2020,3,03,2020-03,18
2020-03-26,Hawaii,Hawaii,2020,3,03,2020-03,130
2020-03-26,Las Vegas,Nevada,2020,3,03,2020-03,38
2020-03-26,Los Angeles,California,2020,3,03,2020-03,126
2020-03-26,New York,New York,2020,3,03,2020-03,78
2020-03-27,Chicago,Illinois,2020,3,03,2020-03,35
2020-03-27,Hawaii,Hawaii,2020,3,03,2020-03,100
2020-03-27,Las Vegas,Nevada,2020,3,03,2020-03,47
2020-03-27,Los Angeles,California,2020,3,03,2020-03,141
2020-03-27,New York,New York,2020,3,03,2020-03,81
2020-03-28,Chicago,Illinois,2020,3,03,2020-03,29
2020-03-28,Hawaii,Hawaii,2020,3,03,2020-03,81
2020-03-28,Las Vegas,Nevada,2020,3,03,2020-03,40
2020-03-28,Los Angeles,California,2020,3,03,2020-03,161
2020-03-28,New York,New York,2020,3,03,2020-03,82
2020-03-29,Chicago,Illinois,2020,3,03,2020-03,37
2020-03-29,Hawaii,Hawaii,2020,3,03,2020-03,70
2020-03-29,Las Vegas,Nevada,2020,3,03,2020-03,58
2020-03-29,Los Angeles,California,2020,3,03,2020-03,220
2020-03-29,New York,New York,2020,3,03,2020-03,104
2020-03-30,Chicago,Illinois,2020,3,03,2020-03,33
2020-03-30,Hawaii,Hawaii,2020,3,03,2020-03,70
2020-03-30,Las Vegas,Nevada,2020,3,03,2020-03,40
2020-03-30,Los Angeles,California,2020,3,03,2020-03,145
2020-03-30,New York,New York,2020,3,03,2020-03,51
