date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-03-22,New York City,New York,,9065,119,2020,3,03,2020-03
2020-03-22,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-22,Clark,Washington,53011,10,3,2020,3,03,2020-03
2020-03-23,Clark,Arkansas,05019,1,0,2020,3,03,2020-03
2020-03-23,Los Angeles,California,06037,536,7,2020,3,03,2020-03
2020-03-23,Hawaii,Hawaii,15001,5,0,2020,3,03,2020-03
2020-03-23,Cook,Illinois,17031,922,9,2020,3,03,2020-03
2020-03-23,Clark,Indiana,18019,5,0,2020,3,03,2020-03
2020-03-23,Clark,Kentucky,21049,3,0,2020,3,03,2020-03
2020-03-23,Clark,Nevada,32003,151,4,2020,3,03,2020-03
2020-03-23,New York City,New York,,12329,155,2020,3,03,2020-03
2020-03-23,Clark,Ohio,39023,1,0,2020,3,03,2020-03
2020-03-23,Clark,Washington,53011,13,4,2020,3,03,2020-03
2020-03-24,Clark,Arkansas,05019,6,0,2020,3,03,2020-03
2020-03-24,Los Angeles,California,06037,662,11,2020,3,03,2020-03
2020-03-24,Hawaii,Hawaii,15001,5,0,2020,3,03,2020-03
2020-03-24,Cook,Illinois,17031,1194,12,2020,3,03,2020-03
2020-03-24,Clark,Indiana,18019,5,0,2020,3,03,2020-03
2020-03-24,Clark,Kentucky,21049,3,0,2020,3,03,2020-03
2020-03-24,Clark,Nevada,32003,249,6,2020,3,03,2020-03
2020-03-24,New York City,New York,,14943,230,2020,3,03,2020-03
2020-03-24,Clark,Ohio,39023,2,0,2020,3,03,2020-03
2020-03-24,Clark,Washington,53011,16,4,2020,3,03,2020-03
2020-03-25,Clark,Arkansas,05019,13,0,2020,3,03,2020-03
2020-03-25,Los Angeles,California,06037,799,13,2020,3,03,2020-03
2020-03-25,Hawaii,Hawaii,15001,5,0,2020,3,03,2020-03
2020-03-25,Cook,Illinois,17031,1418,13,2020,3,03,2020-03
2020-03-25,Clark,Indiana,18019,6,0,2020,3,03,2020-03
2020-03-25,Clark,Kentucky,21049,3,0,2020,3,03,2020-03
2020-03-25,Clark,Nevada,32003,249,6,2020,3,03,2020-03
2020-03-25,New York City,New York,,20061,330,2020,3,03,2020-03
