date,City,State,Year,Month,Year-Month,Num_reviews,Num_cases,Num_deaths
2020-03-16,Los Angeles,California,2020,03,2020-03,681,94,1
2020-03-16,Hawaii,Hawaii,2020,03,2020-03,633,10,0
2020-03-16,Chicago,Illinois,2020,03,2020-03,187,0,0
2020-03-16,Las Vegas,Nevada,2020,03,2020-03,277,35,1
2020-03-16,New York,New York,2020,03,2020-03,410,464,7
2020-03-17,Los Angeles,California,2020,03,2020-03,425,144,1
2020-03-17,Hawaii,Hawaii,2020,03,2020-03,533,14,0
2020-03-17,Chicago,Illinois,2020,03,2020-03,96,0,0
2020-03-17,Las Vegas,Nevada,2020,03,2020-03,154,42,1
2020-03-17,New York,New York,2020,03,2020-03,293,646,11
2020-03-18,Los Angeles,California,2020,03,2020-03,374,190,1
2020-03-18,Hawaii,Hawaii,2020,03,2020-03,558,16,0
2020-03-18,Chicago,Illinois,2020,03,2020-03,89,0,0
2020-03-18,Las Vegas,Nevada,2020,03,2020-03,153,69,1
2020-03-18,New York,New York,2020,03,2020-03,249,1344,25
2020-03-19,Los Angeles,California,2020,03,2020-03,288,231,2
2020-03-19,Hawaii,Hawaii,2020,03,2020-03,518,26,0
2020-03-19,Chicago,Illinois,2020,03,2020-03,34,0,0
2020-03-19,Las Vegas,Nevada,2020,03,2020-03,123,74,1
2020-03-19,New York,New York,2020,03,2020-03,197,2477,31
2020-03-20,Los Angeles,California,2020,03,2020-03,312,292,2
2020-03-20,Hawaii,Hawaii,2020,03,2020-03,440,37,0
2020-03-20,Chicago,Illinois,2020,03,2020-03,58,0,0
2020-03-20,Las Vegas,Nevada,2020,03,2020-03,113,126,2
2020-03-20,New York,New York,2020,03,2020-03,189,4419,54
2020-03-21,Los Angeles,California,2020,03,2020-03,255,351,4
2020-03-21,Hawaii,Hawaii,2020,03,2020-03,402,48,0
2020-03-21,Chicago,Illinois,2020,03,2020-03,49,0,0
2020-03-21,Las Vegas,Nevada,2020,03,2020-03,65,126,2
2020-03-21,New York,New York,2020,03,2020-03,164,6226,75
2020-03-22,Los Angeles,California,2020,03,2020-03,313,421,5
2020-03-22,Hawaii,Hawaii,2020,03,2020-03,385,56,0
2020-03-22,Chicago,Illinois,2020,03,2020-03,60,0,0
2020-03-22,Las Vegas,Nevada,2020,03,2020-03,91,126,2
2020-03-22,New York,New York,2020,03,2020-03,178,9065,119
2020-03-23,Los Angeles,California,2020,03,2020-03,201,536,7
2020-03-23,Hawaii,Hawaii,2020,03,2020-03,330,77,0
2020-03-23,Chicago,Illinois,2020,03,2020-03,49,0,0
2020-03-23,Las Vegas,Nevada,2020,03,2020-03,66,151,4
2020-03-23,New York,New York,2020,03,2020-03,143,12329,155
2020-03-24,Los Angeles,California,2020,03,2020-03,157,662,11
2020-03-24,Hawaii,Hawaii,2020,03,2020-03,245,90,0
2020-03-24,Chicago,Illinois,2020,03,2020-03,27,0,0
2020-03-24,Las Vegas,Nevada,2020,03,2020-03,41,249,6
2020-03-24,New York,New York,2020,03,2020-03,75,14943,230
2020-03-25,Los Angeles,California,2020,03,2020-03,145,799,13
