"","id","last_scraped","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state"
"2202",21016498,2021-06-04,2,1,TRUE,5,"$297.00",19,49,79,283,2021-05-16,4.95,4.96,4.93,4.93,4.99,4.87,4.81,12,297,"NY"
"2203",21025488,2021-06-04,2,2,TRUE,5,"$155.00",3,32,62,183,2021-04-11,4.7,4.88,4.73,4.91,4.91,4.7,4.58,1,155,"NY"
"2204",21027809,2021-06-05,2,1,TRUE,2,"$146.00",4,8,27,173,2021-06-01,4.97,4.99,4.99,4.96,4.98,4.9,4.91,11,146,"NY"
"2205",21034242,2021-06-04,2,1,TRUE,2,"$273.00",14,42,42,42,2021-04-28,4.88,4.85,4.92,4.92,5,5,4.81,2,273,"NY"
"2206",21042534,2021-06-03,1,1,FALSE,4,"$99.00",0,0,0,0,2021-04-10,4.9,4.8,4.7,4.9,5,4.6,4.9,2,99,"NY"
"2207",21044649,2021-06-06,2,2,TRUE,1,"$11.00",0,0,0,0,2021-03-25,4.91,4.96,4.83,4.96,5,4.87,4.96,1,11,"NY"
"2208",21047121,2021-06-04,9,4,TRUE,6,"$595.00",7,13,15,180,2021-05-31,4.51,4.67,4.26,4.75,4.64,4.9,4.58,7,595,"NY"
"2209",21054012,2021-06-06,3,3,FALSE,6,"$228.00",15,41,71,346,2021-05-30,4.81,4.76,4.84,4.81,4.95,4.59,4.81,1,228,"NY"
"2210",21110494,2021-06-03,1,1,FALSE,2,"$53.00",25,55,85,85,2021-05-30,4.81,4.92,4.9,4.97,4.95,4.61,4.86,2,53,"NY"
"2211",21120547,2021-06-05,2,1,FALSE,4,"$78.00",13,15,38,313,2021-05-28,4.57,4.81,4.65,4.93,4.97,4.68,4.67,7,78,"NY"
"2212",21122476,2021-06-05,3,1,FALSE,1,"$44.00",1,1,1,1,2018-04-13,4.33,4,3,5,4.33,4.33,4,1,44,"NY"
"2213",21138717,2021-06-04,3,2,FALSE,4,"$385.00",8,13,39,83,2021-05-24,4.68,4.71,4.58,4.55,4.58,4.87,4.55,8,385,"NY"
"2214",21148781,2021-06-04,1,1,TRUE,2,"$103.00",15,45,75,344,2021-05-09,5,4.89,5,5,4.95,4.95,4.89,4,103,"NY"
"2215",21161561,2021-06-04,2,2,TRUE,4,"$160.00",0,1,31,306,2020-03-09,4.94,4.94,4.89,4.98,5,4.97,4.81,1,160,"NY"
"2216",21161707,2021-06-05,1,1,FALSE,2,"$79.00",0,0,0,0,2021-03-20,4.9,4.9,4.86,4.95,4.97,4.98,4.9,1,79,"NY"
"2217",21169401,2021-06-04,2,1,FALSE,2,"$54.00",27,57,87,87,2021-05-30,5,5,5,5,5,5,4.75,2,54,"NY"
"2218",21175597,2021-06-04,1,1,TRUE,1,"$50.00",0,0,1,276,2020-10-01,4.98,4.95,4.93,5,5,4.79,4.93,1,50,"NY"
"2219",21182937,2021-06-05,3,2,FALSE,5,"$158.00",0,0,0,0,2021-05-09,4.59,4.79,4.53,4.93,4.94,4.78,4.72,5,158,"NY"
"2220",21184173,2021-06-04,1,1,TRUE,2,"$49.00",17,44,74,349,2021-05-31,4.73,4.79,4.87,4.84,4.73,4.7,4.75,9,49,"NY"
"2221",21185448,2021-06-04,1,1,FALSE,2,"$50.00",4,34,64,64,2021-05-26,4.44,4.72,4.21,4.9,4.79,4.79,4.54,2,50,"NY"
"2222",21192284,2021-06-04,1,NA,TRUE,3,"$95.00",1,31,61,336,2021-04-11,5,4.5,4.5,4.5,4,5,4,1,95,"NY"
"2223",21200585,2021-06-05,2,2,FALSE,4,"$300.00",0,0,0,0,2021-04-06,4.71,4.71,4.71,4.71,5,5,4.57,3,300,"NY"
"2224",21210250,2021-06-04,1,1,TRUE,2,"$127.00",7,17,47,322,2021-05-15,4.81,4.95,4.95,4.95,4.95,4.57,4.71,3,127,"NY"
"2225",21230082,2021-06-05,5,2,FALSE,6,"$387.00",1,7,16,61,2021-05-30,4.81,4.89,4.95,4.9,4.96,4.93,4.72,17,387,"NY"
"2226",21241079,2021-06-06,1,1,FALSE,2,"$385.00",27,57,87,362,2018-09-26,4.29,4.43,3.86,4.29,4.29,4.86,3.86,1,385,"NY"
"2227",21247657,2021-06-04,2,2,TRUE,4,"$353.00",1,4,5,92,2021-05-02,4.97,4.95,4.94,4.98,4.98,4.93,4.85,5,353,"NY"
"2228",21257726,2021-06-04,2,1,TRUE,3,"$97.00",4,30,54,307,2021-05-08,4.86,4.91,4.89,4.84,4.96,4.71,4.83,8,97,"NY"
"2229",21264903,2021-06-05,1,NA,TRUE,2,"$86.00",1,1,1,1,2021-05-02,4.92,5,4.92,5,5,4.92,4.92,2,86,"NY"
"2230",21273425,2021-06-05,1,1,TRUE,3,"$91.00",0,0,0,0,2021-05-31,4.9,4.95,4.89,4.94,4.97,4.63,4.81,20,91,"NY"
"2231",21274308,2021-06-05,3,2,FALSE,5,"$131.00",0,3,30,118,2021-04-09,4.88,4.88,4.81,5,4.94,5,4.88,1,131,"NY"
"2232",21277145,2021-06-04,2,1,TRUE,4,"$140.00",1,29,59,149,2021-05-30,4.83,4.92,4.83,4.88,4.93,4.78,4.79,5,140,"NY"
"2233",21282152,2021-06-04,1,1,FALSE,4,"$65.00",23,50,80,200,2021-05-29,4.54,4.53,4.69,4.63,4.66,4.57,4.5,18,65,"NY"
"2234",21291783,2021-06-06,2,1,FALSE,2,"$26.00",0,0,0,0,2021-03-16,4.84,4.92,4.6,4.91,4.91,4.94,4.83,1,26,"NY"
"2235",21354913,2021-06-04,1,NA,TRUE,2,"$109.00",4,16,16,16,2021-05-30,4.96,4.99,4.97,4.97,4.98,4.66,4.95,3,109,"NY"
"2236",21365714,2021-06-04,1,NA,FALSE,4,"$64.00",3,26,45,64,2021-05-26,4.64,4.74,4.88,4.92,4.88,4.59,4.79,6,64,"NY"
"2237",21366948,2021-06-06,1,1,TRUE,4,"$270.00",3,13,39,90,2021-06-01,4.92,4.98,4.88,4.96,4.98,4.98,4.78,6,270,"NY"
